"control_number","session_number","session_type","abstract_title","author_block","abstract_body","abstract_type","abstract_scientific_area","abstract_clinical_area"
"ASC20211209","01.01","QuickShot","Single Cell RNA-Seq Reveals the Heterogeneity of Aortic Fibroblast During Aortic Disease Development","C. Zhang<sup>1,2</sup>, Y. Li<sup>1,2</sup>, A. Dawson<sup>1,2</sup>, P. Ren<sup>1,2</sup>, L. Zhang<sup>1,2</sup>, Y. Li<sup>1,2</sup>, W. Luo<sup>1,2</sup>, Y. H. Shen<sup>1,2,3</sup>, S. A. LeMaire<sup>1,2,3</sup> <sup>1</sup>Baylor College Of Medicine,Division Of Cardiothoracic Surgery, Michael E. DeBakey Department Of Surgery,Houston, TX, USA <sup>2</sup>Texas Heart Institute,Department Of Cardiovascular Surgery,Houston, TX, USA <sup>3</sup>Baylor College Of Medicine,Cardiovascular Research Institute,Houston, TX, USA","<strong>Introduction</strong>: 
Aortic fibroblasts are highly dynamic cell populations that play critical roles in repair and remodeling in aortic aneurysm and dissection (AAD). However, their molecular and cellular changes during AAD development remain poorly understood. In this study, we examined aortic fibroblast heterogeneity in a sporadic AAD mouse model using single-cell RNA sequencing (scRNA-seq).

<br><br><strong>Methods</strong>: 
C57BL/6 wild-type (WT) mice were either unchallenged (chow diet, saline infusion; n=3) or challenged (n=3) with 4 weeks of high-fat diet followed by 7 days of angiotensin II infusion. Thoracic aortas were excised and digested to generate single-cell suspensions for scRNA-seq. In all,16,187 cells were analyzed and categorized by using the Seurat package in R to perform cluster identification. Differentially expressed genes (DEGs) were identified using edgeR. Trajectory pseudotime analyses were performed using Monocle2.

<br><br><strong>Results</strong>:
We identified 7 major aortic cell populations including one cluster of Pdgfra<sup>high</sup> fibroblasts. We further divided this cluster into 7 subclusters including extracellular matrix (ECM)-producing fibroblasts (with enrichment in Dcn, Lum, and Col1a2), Acta2<sup>+</sup> myofibroblasts, Tnfrsf11b<sup>high</sup> fibroblasts, mesenchymal progenitor cells (with enrichment in Cd34, Ly6a, and Ly6c1), pro-inflammatory fibroblasts (with enrichment in Col8a1, Thbs1, and Tgfb3), and Cd14<sup>+</sup> macrophage-like fibroblasts (expressing myeloid-specific markers Lyz2, Cd68, and Pf4). DEGs and Gene Ontology enrichment analyses revealed specific gene expression patterns distinguishing these fibroblast subsets and uncovered their putative functions, such as increased collagen synthesis and ECM organization in ECM-producing and pro-inflammatory fibroblasts, increased cell proliferation and migration features in Tnfrsf11b<sup>high</sup> and pro-inflammatory fibroblasts, and increased cell adhesion and cell junction organization in myofibroblasts and mesenchymal progenitor cells. Notably, pseudotime analyses suggest an important role of Tnfrsf11b in fibroblast trajectory differentiation. Interestingly, while ECM-producing fibroblasts, Acta2<sup>+</sup> myofibroblasts, Tnfrsf11b<sup>high</sup> fibroblasts, and mesenchymal progenitor cells were detected in both unchallenged and challenged mice, pro-inflammatory fibroblasts and macrophage-like fibroblasts were almost exclusively detected in challenged mice.

<br><br><strong>Conclusion</strong>:
&nbsp;This study revealed marked phenotypic heterogeneity of aortic fibroblasts and identified changes in fibroblast gene expression during aortic stress, suggesting specialized functions of fibroblast subclusters. Our findings will open up novel opportunities to understand the role of fibroblasts in AAD formation and progression.
&nbsp;
","Basic Science","Cellular and Molecular Biology","Cardiothoracic"
"ASC20210470","01.02","QuickShot","Hydroxychloroquine Inhibits Type I Interferons and Attenuates Myocardial Ischemia Reperfusion Injury","K. M. Marsh<sup>1</sup>, A. Zhang<sup>1</sup>, D. Wu<sup>1</sup>, I. L. Kron<sup>2</sup>, Z. Yang<sup>1</sup> <sup>1</sup>University Of Virginia,Surgery,Charlottesville, VA, USA <sup>2</sup>University Of Arizona,Surgery,Tucson, AZ, USA","<strong>Introduction</strong>: &nbsp;We have identified&nbsp;a novel cardio-splenic axis that is activated and exacerbates myocardial infarct size (IS) during myocardial ischemia-reperfusion injury (IRI). HMGB1 and cell-free DNA (cfDNA) are released from ischemically-injured myocardium into the bloodstream during reperfusion. Facilitated by the interaction between HMGB1 and RAGE on splenic leukocytes, cfDNA enters the leukocytes, stimulates cytosolic TLR9 and augments inflammatory responses, ultimately exacerbating myocardial IS.&nbsp;Hydroxychloroquine (HCQ) is a well-known antimalarial agent and has recently been found to inhibit TLR7/9.&nbsp;We hypothesized that HCQ would attenuate myocardial IRI by inhibiting interferon I-mediated inflammatory responses.


<br><br><strong>Methods</strong>: &nbsp;Wild-type (WT) C57BL/6 and congenic TLR9<sup>-/-</sup>&nbsp;mice underwent 40 minutes of ischemia following treatment with TLR9 inhibitor ODN-2088, HCQ, or control 5 min prior to left coronary artery (LCA) occlusion. After 60 minutes of reperfusion, hearts were harvested and IS as a percentage of risk region (RR, % of LV) was measured by TTC-Phthalo blue staining. Ex vivo, isolated splenocytes were treated either with PBS or cardiac perfusate (CP) containing high levels of cfDNA and HMGB1 collected from hearts harvested after 40 minutes of LCA occlusion without reperfusion. Cell culture supernatant was then collected at 2 and 4 hours to measure&nbsp;IFN&alpha;&nbsp;and IFN&beta;.


<br><br><strong>Results</strong>:&nbsp;In WT mice treated with ODN-2088, ODN negative control, or PBS control and TLR9<sup>-/-</sup>&nbsp;mice, there was no significant difference in RR (p=NS). In&nbsp;TLR9<sup>-/-</sup>&nbsp;mice&nbsp;and&nbsp;OND-2088-treated WT&nbsp;mice (0.6&nbsp;&mu;&nbsp;g/g mouse weight), IS was significantly decreased to&nbsp;26&plusmn;8 &amp; 28&plusmn;4% respectively, a &gt;49% reduction compared to WT mice treated with PBS (53&plusmn;4%, p&lt;0.05, Figure A). ODN-2088 negative control (0.6&nbsp;&mu;g/g) had no infarct-sparing effect (p=NS, vs. WT control). In WT mice treated with HCQ, RR was comparable among the control and 3 HCQ-treated groups. All 3 HCQ-treated mice (at dosages of 5, 10 and 20&nbsp;&mu;g/g) had significantly reduced IS (vs. WT control, p&lt;0.05), with the 10 ug/g dose decreasing IS to 33&plusmn;6% (39% reduction from WT control). A trend towards HCQ dose-response in IS reduction was present but did not reach statistical significance.&nbsp;&nbsp;(Figure B). In the ex vivo experiment, CP-treated splenocytes produced significantly higher IFN&alpha;&nbsp;and IFN&beta;&nbsp;in culture supernatant at 4 hours. HCQ significantly reduced the production of&nbsp;IFN&alpha;&nbsp;and IFN&beta;.



<br><br><strong>Conclusion</strong>:&nbsp;HMGB1 and cfDNA released from ischemic myocardium during reperfusion exacerbate myocardial IS by activating TLR9/IFN I-mediated inflammatory responses. Hydroxychloroquine reduces production of IFN I and attenuates myocardial IRI, likely via TLR9 inhibition.

&nbsp;
","Basic Science","Cellular and Molecular Biology","Cardiothoracic"
"ASC20210193","01.03","QuickShot","Single-Cell Analysis Reveals Evidence of Endothelial Dysfunction in Patients with Marfan Syndrome","A. E. Dawson<sup>1</sup>, Y. Li<sup>1</sup>, C. Zhang<sup>1</sup>, P. Ren<sup>1</sup>, H. Vasquez<sup>1</sup>, W. Ageedi<sup>1</sup>, W. Luo<sup>1</sup>, L. Zhang<sup>1</sup>, Y. Li<sup>1</sup>, H. Lu<sup>2</sup>, L. Cassis<sup>3</sup>, J. S. Coselli<sup>1,4</sup>, A. Daugherty<sup>2</sup>, Y. H. Shen<sup>1,4</sup>, S. A. LeMaire<sup>1,4</sup> <sup>1</sup>Baylor College Of Medicine,Department Of Surgery, Division Of Cardiothoracic Surgery,Houston, TX, USA <sup>2</sup>University Of Kentucky,Saha Cardiovascular Research Center And Department Of Physiology,Lexington, KY, USA <sup>3</sup>University Of Kentucky,Department Of Pharmacology And Nutritional Sciences,Lexington, KY, USA <sup>4</sup>Texas Heart Institute,Department Of Cardiovascular Surgery,Houston, TX, USA","<strong>Introduction</strong>: 
Marfan syndrome (MFS) is known to be caused by mutations in the gene encoding the glycoprotein fibrillin-1 (FBN1), however the molecular and cellular processes leading to progression of disease remains poorly understood. Aortic endothelial cells (ECs) are vital in the maintenance of the normal aortic wall, with involvement in permeability, cell-cell signaling, and mechanotransduction. Here, we used single-cell RNA (scRNA) sequencing to define the EC populations and cell-specific gene expression in patients with MFS compared to controls, hypothesizing that ECs in MFS would exhibit evidence of endothelial dysfunction.

<br><br><strong>Methods</strong>: 
We performed scRNA sequencing of aneurysmal ascending aortic tissues from patients with MFS (n=3) undergoing aneurysm repair and of age-matched non-aneurysmal control tissues from cardiac transplant donors and recipients (n=4). Tissues were digested and single cells isolated and sequenced. In all, over 46,000 cells were grouped into clusters based on similar conserved gene expression using the Seurat package in R. ECs were identified based on high expression of known marker genes, such as VWF, and were re-clustered for dedicated analysis. Differentially expressed genes (DEGs) were identified using edgeR.

<br><br><strong>Results</strong>:
We identified a total of 2,218 ECs in our data which were grouped into 8 clusters. Marker gene expression in each cluster identified EC clusters associated with innate immunity (n=3; marker genes associated with complement pathways and antigen presentation), vascular healing (n=3; marker genes associated with mechanical stress, remodeling, and vascular development), proliferation (n=1; marker genes associated with cell cycle progression), and de-differentiated ECs (n=1; marker genes associated with matrix production and smooth muscle contraction). Module scores of genes involved in tight and adherens junctions were highest in the vascular healing ECs, indicating that these cells were most involved in maintenance of the endothelial barrier. Cells from MFS tissue had a higher proportion of vascular healing ECs compared to controls. Analysis of DEGs revealed that ECs in MFS exhibited significant downregulation of claudin-5 (CLDN5), the predominant tight junction gene expressed in our data. Genes most consistently significantly upregulated in MFS ECs included genes involved in vasculogenesis such as beta-catenin (CTNNB1) and NOTCH1.

<br><br><strong>Conclusion</strong>:
We identified unique subpopulations of aortic ECs using scRNA sequencing. When compared with controls, MFS tissues had a higher proportion of ECs involved in maintaining the endothelial barrier, however had downregulation of CLDN5, the predominant tight junction gene in our data. Additionally, genes involved in vasculogenesis were significantly upregulated. Together, this suggests dysfunction of the endothelial barrier in MFS with increased endothelial cell migration and proliferation.
&nbsp;
","Basic Science","Precision Medicine/Biomarkers","Cardiothoracic"
"ASC20210238","01.04","QuickShot","Development of multi-cell organoid cultures for preclinical lung cancer immunotherapy studies

","J. Flaming<sup>1</sup>, R. Chandra<sup>1</sup>, L. Girard<sup>1</sup>, D. Ganguly<sup>1</sup>, J. Toombs<sup>1</sup>, J. Minna<sup>1</sup>, R. Brekken<sup>1</sup> <sup>1</sup>University Of Texas Southwestern Medical Center,Hamon Center For Therapeutic Oncology Research,Dallas, TX, USA","<strong>Introduction</strong>: 
Macrophages are key regulators of the immune landscape within the tumor microenvironment (TME) and the plasticity of macrophage phenotypes in the TME correlates with prognosis in Non-Small Cell Lung Cancer (NSCLC). Depending on their phenotype, macrophages in the TME can secrete pro-tumorigenic cytokines and chemokines, ultimately suppressing the function of other immune cells in the TME. The purpose of our study was to investigate how individual NSCLC cell lines alter macrophage phenotype in tumor cell, cancer-associated fibroblast (CAF) and macrophage co-cultures and to relate effects to the molecular characteristics of different NSCLCs. We hypothesize that immune suppression occurs through tumor-secreted signaling molecules that if identified and blocked, could alleviate macrophage-mediated immune suppression, resulting in improved anti-tumor immune responses

<br><br><strong>Methods</strong>: 
We developed an in vitro organoid co-culture system (NSCLC tumor cells, human CAFs, and mouse macrophages) to interrogate cancer cell features causing heterogeneity of macrophage phenotypes across a panel of NSCLCs. We measured (with 4-7 replicates for each NSCLC cell line): mRNA expression in mouse macrophages with a panel of qPCR probes for important macrophage related genes (Arg, NOS2, IL-1&beta;, IL-6, CHIL-3, SOCS3), and in selected cases, whole genome RNAseq; and protein expression using cytokine arrays measuring expression of 40 inflammatory cytokines. Positive controls were stimulation with LPS and IL-4.&nbsp;

<br><br><strong>Results</strong>:
Using our platform, we characterized over 70 NSCLC patient derived lines for their effects on mouse macrophage phenotype. We found: 1) the macrophage phenotypes induced by any one NSCLC were highly reproducible; 2) CAFs are important in the co-culture polarization of macrophages 3) three major clusters of cancer polarized macrophage phenotypes: high Arg (immune suppressive), high IL-1&beta; (inflammatory) or high SOCS3 (JAK-STAT3 pathway) expression; 4) major oncogenotypes (KRAS, TP53, STK11, EGFR, BRAF) do not correlate with the induced macrophage phenotype. We selected 10 NSCLC &ldquo;exemplars&rdquo; lines representing each of these 3 clusters for RNA sequencing (mouse genes) and cytokine array protein (human) profiling. Across all clusters we found: 1) suppression of macrophage endocytosis pathways and activation of scavenger receptor A (SRA) signaling (M2 immunosuppressive phenotype); 2) increased expression of human IL6, IL8, and MCP1 proteins, which have been implicated in suppressing innate immune tumor sensing.&nbsp; Analyses of differences between the 3 clusters is ongoing.&nbsp;&nbsp;

<br><br><strong>Conclusion</strong>:
Patient derived NSCLC preclinical models have reproducible effects on macrophage phenotypes in co-cultures. Three major classes of NSCLC cell lines, which are not linked to oncogenotype, initiated reproducible macrophage alteration. Cytokines secreted by NSCLC cell lines appear responsible for these macrophage changes and this system provides an experimental platform to systematically test each as potential therapeutic targets.
&nbsp;
","Basic Science","Immunology/Immunotherapy","Cardiothoracic"
"ASC20210650","01.05","QuickShot","P2Y2 Receptor Modulates Lung Inflammatory Response During Ischemia-Reperfusion Injury","N. Haywood<sup>1</sup>, A. Zhang<sup>1</sup>, E. Rotar<sup>1</sup>, S. Noona<sup>1</sup>, H. Ta<sup>1</sup>, M. Salmon<sup>1</sup>, I. L. Kron<sup>1</sup>, V. E. Laubach<sup>1</sup> <sup>1</sup>University of Virginia Health System,Surgery,Charlottesville, VA, USA","<strong>Introduction</strong>: &nbsp;Ischemia-reperfusion (IR) injury after lung transplantation is a major cause of early graft dysfunction and increases the risk of early morbidity and mortality. Purinergic P2Y2 receptors (P2Y2R) are G-protein coupled receptors that are known to modulate the inflammatory response by enhancing inflammatory cell infiltration and activation. This study tests the hypothesis that P2Y2R modulates lung IR injury.

<br><br><strong>Methods</strong>: &nbsp;C57BL/6 wild-type (WT), P2Y2R-/-, and endothelial-specific P2Y2R (VECadCreP2Y2Rfl/fl) mice were subjected to lung IR or sham surgery using an&nbsp;in vivo&nbsp;left lung hilar-ligation model (1-hour ischemia, 2 hours reperfusion; n=3-11 mice/group). Left lung-specific partial pressure of oxygen (PaO2) was then measured to determine pulmonary function. Lung injury was assessed using wet-to-dry weight (WTD) ratio, and lung compliance was measured using a buffer-perfused isolated lung system. Murine lung primary microvascular endothelial cells (PMVEC) were exposed to hypoxia/reoxygenation (HR, 6 hours/4 hours) as a lung IR surrogate and treated with either&nbsp;P2Y2R inhibitor (AR-C 118925XX, 10&micro;M) or vehicle to quantify the secretion of CXCL1 cytokine as an endothelial inflammatory marker. Data is presented as mean +/- SEM.

<br><br><strong>Results</strong>:&nbsp;Compared to WT, significantly improved oxygenation as measured by PaO2 following IR occurred in P2Y2R-/- mice (468.2&plusmn;33.1 vs 133.1&plusmn;13.2 mmHg, p&lt;0.001) and in VECadCre+P2Y2Rfl/fl mice (401.3&plusmn;78.6 vs 133.1&plusmn;13.2 mmHg, p&lt;0.001) (Figure). Similarly, a significant decrease in lung edema as measured by WTD ratio following IR occurred in P2Y2R-/- mice (4.86&plusmn;0.15 vs 5.51&plusmn;0.09, p=0.008) compared to WT. Lung compliance following IR was significantly improved in P2Y2R-/- mice (28.91&plusmn;0.84 vs 14.86&plusmn;0.83&nbsp;&micro;l/cm H<sub>2</sub>O, p&lt;0.001) compared to WT. In vitro experiments using PMVECs showed a multifold increase in CXCL1 production following HR, which was mitigated with treatment of P2Y2R inhibitor (p=0.025).

<br><br><strong>Conclusion</strong>:&nbsp;Our results suggest that P2Y2R modulates the pulmonary inflammatory response following IR. This modulation is largely due to P2Y2R activity on pulmonary endothelium. P2Y2R may be a promising new therapeutic target to decrease the incidence of primary graft disfunction following lung transplantation.&nbsp;

&nbsp;
","Basic Science","Other","Cardiothoracic"
"ASC20210482","01.06","QuickShot","Novel Fluorescent Dye VGT-309 Can Identify Early Malignant Mesothelial Cells","F. S. Azari<sup>1</sup>, G. T. Kennedy<sup>1</sup>, L. Frenzel Sulyok<sup>1</sup>, M. Bryski<sup>1</sup>, E. Bernstein<sup>1</sup>, S. Singhal<sup>1</sup> <sup>1</sup>Hospital Of The University Of Pennsylvania,Thoracic Surgery,Philadelphia, PA, USA","<strong>Introduction</strong>: 
Optimal chance for mesothelioma cure is predicated upon R0 resection and sound surgical principles, which often is not possible due to extensive nature of the disease and inability to discern malignant cells using visual and tactile feedback. &nbsp;Fluorescence guided surgery can ameliorate these challenges and aid in detection of residual disease. The purpose of this study was to evaluate the in-vivo sensitivity of a novel fluorescent dye (VGT-309) in detection of malignant mesothelioma.

<br><br><strong>Methods</strong>: 
All experiments were approved by the IRB and were conducted in accordance to policies set forth by the office of University Laboratory Animal Resources.&nbsp; Athymic 15-week old BALB/c female mice were injected with 1 million AB12 cells (mouse derived mesothelioma cells) which were grown in supplemented R10 media.&nbsp; Subsequently, after tumor burden reached 250mm<sup>3</sup>, the mice were injected with 100 uL of vehicle solution of VGT-309 at differing doses. Animals were then imaged at 15-minutes, 1 hour, 3 hours, 24 hours, and 48 hours using near-infrared (NIR) imaging. The organs and tumor cells were retrieved after 48 hours for histopathological evaluation of dye accumulation. Signal to Background Ratios (SBR) were measured to quantify fluorescence using the ImageJ software (National Institutes of Health).

<br><br><strong>Results</strong>:
All the animal subjects tolerated the procedure well without adverse effects attributable to VGT-309 administration.&nbsp; After 48 hours, tail vein injection at 2mg/kg and 4 mg/kg demonstrated consistent fluorescence in AB12 cells in all the mice under NIR imaging. Strongest fluorescence (15,000 A.U) was detected after 24 hours of drug delivery compared to earlier time points and 48 hours. Furthermore, malignant mesothelial cells showed strongest fluorescence (12,500 absorbance units (A.U)) versus various visceral organs including pancreas, liver, stomach, bowel, and lung with mean A.U of 5300 (Figure 1). Immunohistochemical and histopathological analysis confirmed the selective accumulation of the dye in the tumor compared to background healthy tissue. Mean SBRs for tumor tissues were noted to be 3.48 and 4.12 at 24 and 48 hours respectively. &nbsp;

<br><br><strong>Conclusion</strong>:
We have demonstrated that the novel VGT-309 dye can safely and reliably accumulate in malignant mesothelial cells as well as be detected using conventional fluorescence equipment. Implementation of this dye in surgical treatment of mesothelioma patients can aid in higher chance of R0 resection and subsequently increase the 5-year survival rates. Further studies in animals are needed to assess the efficacy of tumor dye accumulation.
&nbsp;
","Basic Science","Preclinical Surgical Innovations","Cardiothoracic"
"ASC20210222","01.07","QuickShot","Pitx2-Dependent Gene Regulatory Network in Left Atrial Cardiomyocytes Underlie Atrial Fibrillation","J. D. Steimle<sup>1</sup>, M. Park<sup>1</sup>, F. J. Grisanti Canozo<sup>1</sup>, S. Fang<sup>3</sup>, Z. A. Kadow<sup>1</sup>, T. T. Tran<sup>1</sup>, P. G. Swinton<sup>2</sup>, Y. Huang<sup>3</sup>, M. H. Samee<sup>1</sup>, J. F. Martin<sup>1,2</sup> <sup>1</sup>Baylor College Of Medicine,Molecular Physiology And Biophysics,Houston, TX, USA <sup>2</sup>Texas Heart Institute,Houston, TX, USA <sup>3</sup>Institute of Biosciences and Technology, Texas A & M University,Center For Epigenetics & Disease Prevention,Houston, TX, USA","<strong>Introduction</strong>: 
Atrial fibrillation (AF) is the most common sustained arrhythmia in the United States with a 25% lifetime risk, and accounts for one-third of all cardiovascular diseases. Treatment and care associated with AF costs roughly $26 billion/year in the US alone and accounts for 10% of all Medicare spending. Debilitating complications linked to AF include heart failure and stroke. AF risk is resoundingly linked to common variation at the 4q25 locus, implicating cis-regulation of the transcription factor PITX2. PITX2 is expressed in left atrial (LA) myocardium where it has been implicated as underlying AF phenotypes in both patients and animal models. Although animal models of Pitx2 are susceptible to AF, the direct mechanisms regulated by Pitx2 remain undetermined. To understand the molecular drivers of AF, it is imperative to understand both the upstream regulation and downstream targets of PITX2.

<br><br><strong>Methods</strong>: 
Using Pitx2 gene-edited mice, we have performed a compendium of single nuclei RNA sequencing (snRNA-seq) and single nuclei assay for transposase-accessible chromatin sequencing (snATAC-seq) experiments to identify the role of Pitx2 in LA myocardium.

<br><br><strong>Results</strong>:
Using the snRNA-seq and snATAC-seq datasets, we identified differentially expressed genes with differentially accessible chromatin sites in both the cardiomyocyte and fibroblast populations of the LA. Among the genes in the LA cardiomyocytes, we see a reversal of left and right atrial expressed genes.

<br><br><strong>Conclusion</strong>:
AF is a complex genetic disease with many underlying genetic and physiological variables. In this work, we have begun laying the groundwork to understand the direct molecular mechanisms governed by Pitx2 in the LA myocardium. In future work, we hope to investigate the cis-regulatory mechanisms of PITX2 at candidate loci identified in this study. Additionally, we plan to identify the molecular machinery by which PITX2 interacts to govern the cis-regulatory landscape of the LA myocardium in development and disease.
&nbsp;
","Basic Science","Cellular and Molecular Biology","Cardiothoracic"
"ASC20211223","01.08","QuickShot","Gelfoam Sponge-Based Model for Long Term Culturing of Whole Esophageal Explants","A. Lam<sup>1</sup>, O. Zaborina<sup>1</sup>, J. Alverdy<sup>1</sup> <sup>1</sup>University Of Chicago,Department Of Surgery,Chicago, IL, USA","<strong>Introduction</strong>: 
Recent advancements in endoscopic surgery have spurred a rise in endoscopic mucosal resection (EMR) and endoscopic submucosal dissection (ESD) for the treatment of early stage esophageal malignancy. Complications from EMR/ESD include stricture formation, full thickness injury, delayed perforation, and leak. &nbsp;Therefore a more complete understanding of the mechanisms that govern esophageal epithelial regeneration following injury is needed to prevent the occasionally lethal complications. &nbsp;Here, we describe a simple model for culturing whole esophageal explants long term, providing a platform for potentially studying regeneration ex vivo.&nbsp;&nbsp;

&nbsp;

<br><br><strong>Methods</strong>: 

C57/BL6 wildtype mice were sacrificed and underwent sternotomy and laparotomy. The esophagus was dissected, opened longitudinally, and then either completely immersed in media or transferred atop a gelfoam sponge impregnated with media (DMEM/F12 with HEPES and Penicillin/Streptomycin). Following culture, tissues were fixed and cryosectioned in standard fashion. H&amp;E staining was used to analyze explant architecture.

&nbsp;

<br><br><strong>Results</strong>:
After the esophagus is completely immersed in culture for 5 days, there is loss of normal esophageal architecture characterized by atrophy of the esophageal mucosa. In contrast, when the esophagus is cultured atop a gelfoam sponge (mimicking an air-liquid interface), mucosal architecture is maintained. Furthermore, these explants also showed signs of mucosal proliferation, as evidence by an enlarged zone of keratinization. Additional studies demonstrated that this novel culture platform was able to maintain esophageal explants for up to 17 days without significant distortion of architecture.


<br><br><strong>Conclusion</strong>:
Long term whole organ esophageal explants can be maintained without compromising tissue integrity. This platform provides a novel yet simple method for potentially studying the process of esophageal regeneration following both superficial (i.e EMR) and deep (ESD) simulated injury in the mouse.
&nbsp;
","Basic Science","Developmental Biology/Tissue Engineering","Cardiothoracic"
"ASC20210575","01.09","QuickShot","Plasmacytoid Dendritic Cells (pDCs) Regulate Th17 Activation in Diabetic Wound CD4+ T-cells","C. Audu<sup>1</sup>, S. Wolf-Fortune<sup>2</sup>, W. J. Melvin<sup>1</sup>, F. Davis<sup>1</sup>, A. DenDekker<sup>2</sup>, S. Sharma<sup>1</sup>, K. Mangum<sup>1</sup>, E. Barrett<sup>1</sup>, A. Joshi<sup>2</sup>, A. Obi<sup>1,2</sup>, B. Moore<sup>2</sup>, K. A. Gallagher<sup>1,2</sup> <sup>1</sup>University Of Michigan,Vascular Surgery,Ann Arbor, MI, USA <sup>2</sup>University Of Michigan,Microbiology & Immunology,Ann Arbor, MI, USA","<strong>Introduction</strong>: &nbsp;CD4+T-cells are vital for normal wound repair but the factors that control T-cell activation and plasticity in wounds&nbsp;in vivo&nbsp;are not clear. Our group and others have found increased Th17 activation in diabetic wounds results in increased IL17a and pathologic inflammation that prevents tissue repair. Plasmacytoid dendritic cells (pDC) are antigen presenting cells (APCs) that are present in early diabetic wound tissue and may play a key role in modulating CD4+T cell phenotype. Hence, we hypothesized that&nbsp;&nbsp;pDCs in diabetic wounds may activate CD4+ T-cells towards a Th17 phenotype.


<br><br><strong>Methods</strong>: &nbsp;Wild type C57BL/6 mice were fed normal chow diet (13.5% kcal fat) or high fat diet chow (60% kcal fat) for 12-14 weeks to generate the diet-induced obesity (DIO) model of glucose intolerance/insulin resistance. These mice were subsequently wounded with 6 mm punch biopsies, and wound pDCs were examined by flow cytometry daily for 5 days. In another cohort of mice, wounds were created and pDCs were harvested on day 1. These cells were co-cultured with wild type, na&iuml;ve CD4+ T-cells for 5 days, after which T-cell phenotype was determined by flow cytometry for established transcription factors and extracellular markers.&nbsp;


<br><br><strong>Results</strong>:&nbsp;Following exposure to DIO pDCs, wild type activated CD4+ T-cells were polarized towards a Th17 phenotype, demonstrating increased I17a production. Further, DIO pDC recruited to wounds resulted in decreased Th2/IL-4 producing T-cells, that are&nbsp;&nbsp;important for normal wound repair. Further, there were kinetic differences seen in pDC recruitment to DIO versus control wounds following injury.&nbsp;


<br><br><strong>Conclusion</strong>:&nbsp;Diabetic pDCs play an important role in wound Th17 CD4+ T-cell activation and may act to increase inflammation in diabetic wounds.&nbsp;

&nbsp;
","Basic Science","Immunology/Immunotherapy","Vascular"
"ASC20210204","01.10","QuickShot","Evaluation of the Role of Von Willebrand Factor (VWF) in Trauma-induced Coagulopathy: A Pilot Study","T. A. MacArthur<sup>2</sup>, M. Auton<sup>3</sup>, A. Tischer<sup>3</sup>, J. Dong<sup>4</sup>, R. A. Kozar<sup>5</sup>, J. Goswami<sup>2</sup>, M. S. Park<sup>1</sup> <sup>1</sup>Mayo Clinic,Department Of Surgery, Division Of Trauma, Critical Care And General Surgery,Rochester, MN, USA <sup>2</sup>Mayo Clinic,Department Of Surgery,Rochester, MN, USA <sup>3</sup>Mayo Clinic,Division Of Hematology, Department Of Medicine,Rochester, MN, USA <sup>4</sup>University Of Washington,Hematology Division, Department Of Medicine, Member- Bloodworks Research Institute,Seattle, WA, USA <sup>5</sup>University Of Maryland,Department Of Surgery,Baltimore, MD, USA","<strong>Introduction</strong>:  Von Willebrand factor (VWF) is synthesized in megakaryocytes and endothelial cells (EC) as a single-chain propolypeptide that consists of repeat domains of D1-D2-D&rsquo;-D3-A1-A2-A3-D4-C(1-6)-CK.&nbsp; After synthesis, VWF multimers are either released constitutively into circulation or stored in granules of ECs and platelets, where they form ultra-large (UL)VWF multimers.&nbsp; Under physiologic conditions, ULVWF is rapidly cleaved by the metalloprotease ADAMTS-13, up release, to generate the smaller plasma forms of VWF multimers found in circulation. This cleavage prevents spontaneous pro-thrombotic VWF-platelet interaction in circulation while maintaining the hemostatic activity of VWF at the site of vascular injury. After trauma, ULVWF multimers are released as part of the acute phase reaction. When ULVWF release overwhelms the proteolytic capacity of ADAMTS-13 this safeguard is bypassed, potentially contributing to the coagulopathy of trauma.

<br><br><strong>Methods</strong>:  Fifty plasma samples from 30 trauma patients were evaluated and compared to 21 healthy volunteers. The patients were stratified by injury type including traumatic brain injury (TBI), Long Bone Fracture (LBFx) and need for any blood transfusion (TX). We assessed the plasma concentrations of VWF:Ag and ADAMTS-13:Ag, and the Rapid Enzyme Assays for Autoimmune Diseases (REAADS) activity of VWF, which measures the binding of a monoclonal antibody to an exposed epitope in the A1 domain. Kruskal- Wallis test for significance was performed on all subgroups, and results are presented in Table 1 against previously obtained thrombin generation data for the same patients.

<br><br><strong>Results</strong>: As compared to healthy volunteers, thrombin generation is enhanced in trauma patients, especially those that required any blood transfusion (Table 1). In all trauma patients, the VWF:Ag levels were elevated relative to controls. In addition, the REAADs activity was greater, especially in those with TBI. ADAMTS-13:Ag levels were also moderately reduced in all trauma patients, and this was most apparent in those with TBI.

<br><br><strong>Conclusion</strong>: These data demonstrate that trauma patients, especially those with TBI, have enhanced exposure of the VWF A1 domain (activated VWF) based on increased REAADS activity. The increase in REAADS activity coupled with the decrease in free plasma ADAMTS-13:Ag in all trauma patients, may indicate that ADAMTS-13 is not efficiently cleaving ULVWFs in these patients. Further investigation with a larger cohort is merited to assess whether VWF has any clinical significance in Trauma-induced Coagulopathy, such as in the development of venous thromboembolism.&nbsp;
","Basic Science","Cellular and Molecular Biology","Trauma/Critical Care"
