,index,0
0,University Of Alabama At Birmingham,University Of Alabama At Birmingham
1,University Of Michigan,University Of Michigan
2,University Of Wisconsin,University Of Wisconsin
3,Brigham And Women'S Hospital,Brigham And Women'S Hospital
4,Massachusetts General Hospital,Massachusetts General Hospital
5,Stanford University,Stanford University
6,Johns Hopkins University School Of Medicine,Johns Hopkins University School Of Medicine
7,Indiana University School Of Medicine,Indiana University School Of Medicine
8,Yale University School Of Medicine,Yale University School Of Medicine
9,University Of Miami,University Of Miami
10,University Of Texas Southwestern Medical Center,University Of Texas Southwestern Medical Center
11,Medical College Of Wisconsin,Medical College Of Wisconsin
12,University Of Florida,University Of Florida
13,University Of Arizona,University Of Arizona
14,University Of Colorado Denver,University Of Colorado Denver
15,David Geffen School Of Medicine,David Geffen School Of Medicine
16,Duke University Medical Center,Duke University Medical Center
17,University Of North Carolina At Chapel Hill,University Of North Carolina At Chapel Hill
18,Hospital Of The University Of Pennsylvania,Hospital Of The University Of Pennsylvania
19,Feinberg School Of Medicine - Northwestern University,Feinberg School Of Medicine - Northwestern University
20,University Of Pennsylvania,University Of Pennsylvania
21,Ohio State University,Ohio State University
22,University Of Utah,University Of Utah
23,Vanderbilt University Medical Center,Vanderbilt University Medical Center
24,University Of California - San Francisco,University Of California - San Francisco
25,University Of Texas Health Science Center At Houston,University Of Texas Health Science Center At Houston
26,University Of Cincinnati,University Of Cincinnati
27,University Of Pittsburgh,University Of Pittsburgh
28,Temple University,Temple University
29,Baylor College Of Medicine,Baylor College Of Medicine
30,Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center
31,University Of California - Los Angeles,University Of California - Los Angeles
32,University Of Chicago,University Of Chicago
33,Roswell Park Cancer Institute,Roswell Park Cancer Institute
34,Texas Children'S Hospital,Texas Children'S Hospital
35,University Of Virginia,University Of Virginia
36,University Of California - San Diego,University Of California - San Diego
37,University Of Louisville,University Of Louisville
38,Children'S Hospital Los Angeles,Children'S Hospital Los Angeles
39,Mayo Clinic,Mayo Clinic
40,Emory University School Of Medicine,Emory University School Of Medicine
41,University Of Texas Medical Branch,University Of Texas Medical Branch
42,Northwestern University,Northwestern University
43,Thomas Jefferson University,Thomas Jefferson University
