,smart_institution2,count
0,University Of Alabama At Birmingham,477
1,University Of Michigan,348
2,University Of Wisconsin,179
3,Brigham And Women'S Hospital,166
4,Massachusetts General Hospital,165
5,Stanford University,163
6,Johns Hopkins University School Of Medicine,157
7,Indiana University School Of Medicine,156
8,Yale University School Of Medicine,152
9,University Of Miami,148
10,University Of Texas Southwestern Medical Center,146
11,Medical College Of Wisconsin,138
12,University Of Florida,138
13,University Of Arizona,132
14,University Of Colorado Denver,119
15,David Geffen School Of Medicine,113
16,Duke University Medical Center,110
17,University Of North Carolina At Chapel Hill,107
18,Hospital Of The University Of Pennsylvania,107
19,Feinberg School Of Medicine - Northwestern University,103
20,University Of Pennsylvania,103
21,Ohio State University,100
22,University Of Utah,91
23,Vanderbilt University Medical Center,90
24,University Of California - San Francisco,87
25,University Of Texas Health Science Center At Houston,84
26,University Of Cincinnati,80
27,University Of Pittsburgh,80
28,Temple University,79
29,Baylor College Of Medicine,78
30,Beth Israel Deaconess Medical Center,78
31,University Of California - Los Angeles,74
32,University Of Chicago,73
33,Roswell Park Cancer Institute,73
34,Texas Children'S Hospital,71
35,University Of Virginia,70
36,University Of California - San Diego,57
37,University Of Louisville,56
38,Children'S Hospital Los Angeles,56
39,Mayo Clinic,53
40,Emory University School Of Medicine,52
41,University Of Texas Medical Branch,52
42,Northwestern University,51
43,Thomas Jefferson University,48
44,Howard University College Of Medicine,48
45,University Of Kentucky,46
46,Cedars-Sinai Medical Center,46
47,University Of Iowa,45
48,Washington University,43
49,University Of South Florida College Of Medicine,43
50,Mcgovern Medical School At Uthealth,41
51,University Of California - Irvine,41
52,Rush University Medical Center,40
53,Fox Chase Cancer Center,40
54,Wright State University,38
55,Brown University School Of Medicine,38
56,Niigata University Graduate School Of Medical And Dental Sciences,38
57,University Of Tennessee Health Science Center,37
58,University Of Pittsburgh Medical Center,37
59,University Of Pittsburg,36
60,Nationwide Children'S Hospital,36
61,Virginia Commonwealth University,36
62,Carolinas Medical Center,35
63,New York University School Of Medicine,35
64,Moffitt Cancer Center And Research Institute,34
65,Loyola University Chicago Stritch School Of Medicine,34
66,Children'S Mercy Hospital- University Of Missouri Kansas City,33
67,Aga Khan University Medical College,33
68,Delray Medical Center,32
